2025-07-06 | John 1:1
2025-07-13 | John 1:2
2025-07-20 | John 1:3
2025-07-27 | John 1:4
2025-08-03 | John 1:5
2025-08-10 | John 1:6
2025-08-17 | John 1:7
2025-08-24 | John 1:8
2025-08-31 | John 1:9
2025-09-07 | John 1:10
2025-09-14 | John 1:11
2025-09-21 | John 1:12
2025-09-28 | John 1:13
2025-10-05 | John 1:14
2025-10-12 | John 1:15
2025-10-19 | John 1:16
2025-10-26 | John 1:17
2025-11-02 | John 1:18
2025-11-09 | John 1:19
2025-11-16 | John 1:20
2025-11-23 | John 1:21
2025-11-30 | John 1:22
2025-12-07 | John 1:23
2025-12-14 | John 1:24
2025-12-21 | John 1:25
2025-12-28 | John 1:26
2026-01-04 | John 1:27
2026-01-11 | John 1:28
2026-01-18 | John 1:29
2026-01-25 | John 1:30
2026-02-01 | John 1:31
2026-02-08 | John 1:32
2026-02-15 | John 1:33
2026-02-22 | John 1:34
2026-03-01 | John 1:35
2026-03-08 | John 1:36
2026-03-15 | John 1:37
2026-03-22 | John 1:38
2026-03-29 | John 1:39
2026-04-05 | John 1:40
2026-04-12 | John 1:41
2026-04-19 | John 1:42
2026-04-26 | John 1:43
2026-05-03 | John 1:44
2026-05-10 | John 1:45
2026-05-17 | John 1:46
2026-05-24 | John 1:47
2026-05-31 | John 1:48
2026-06-07 | John 1:49
2026-06-14 | John 1:50
2026-06-21 | John 1:51
2026-06-28 | John 2:1
2026-07-05 | John 2:2
2026-07-12 | John 2:3
2026-07-19 | John 2:4
2026-07-26 | John 2:5
2026-08-02 | John 2:6
2026-08-09 | John 2:7
2026-08-16 | John 2:8
2026-08-23 | John 2:9
2026-08-30 | John 2:10
2026-09-06 | John 2:11
2026-09-13 | John 2:12
2026-09-20 | John 2:13
2026-09-27 | John 2:14
2026-10-04 | John 2:15
2026-10-11 | John 2:16
2026-10-18 | John 2:17
2026-10-25 | John 2:18
2026-11-01 | John 2:19
2026-11-08 | John 2:20
2026-11-15 | John 2:21
2026-11-22 | John 2:22
2026-11-29 | John 2:23
2026-12-06 | John 2:24
2026-12-13 | John 2:25
2026-12-20 | John 3:1
2026-12-27 | John 3:2
2027-01-03 | John 3:3
2027-01-10 | John 3:4
2027-01-17 | John 3:5
2027-01-24 | John 3:6
2027-01-31 | John 3:7
2027-02-07 | John 3:8
2027-02-14 | John 3:9
2027-02-21 | John 3:10
2027-02-28 | John 3:11
2027-03-07 | John 3:12
2027-03-14 | John 3:13
2027-03-21 | John 3:14
2027-03-28 | John 3:15
2027-04-04 | John 3:16
2027-04-11 | John 3:17
2027-04-18 | John 3:18
2027-04-25 | John 3:19
2027-05-02 | John 3:20
2027-05-09 | John 3:21
2027-05-16 | John 3:22
2027-05-23 | John 3:23
2027-05-30 | John 3:24
2027-06-06 | John 3:25
2027-06-13 | John 3:26
2027-06-20 | John 3:27
2027-06-27 | John 3:28
2027-07-04 | John 3:29
2027-07-11 | John 3:30
2027-07-18 | John 3:31
2027-07-25 | John 3:32
2027-08-01 | John 3:33
2027-08-08 | John 3:34
2027-08-15 | John 3:35
2027-08-22 | John 3:36
2027-08-29 | John 4:1
2027-09-05 | John 4:2
2027-09-12 | John 4:3
2027-09-19 | John 4:4
2027-09-26 | John 4:5
2027-10-03 | John 4:6
2027-10-10 | John 4:7
2027-10-17 | John 4:8
2027-10-24 | John 4:9
2027-10-31 | John 4:10
2027-11-07 | John 4:11
